city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Requena,ES,39.4883,-1.1004,57.52,70,95,3.85,overcast clouds
334,Evanston,US,42.0411,-87.6901,90.39,60,40,14.97,scattered clouds
335,Tasiilaq,GL,65.6145,-37.6368,26.76,85,99,9.28,overcast clouds
336,Olivenca,BR,-9.5186,-37.1906,75.31,79,93,8.21,overcast clouds
337,Richards Bay,ZA,-28.783,32.0377,63.77,87,65,5.75,broken clouds
338,Poya,NC,-21.35,165.15,73.09,75,66,5.39,broken clouds
339,Immenstadt,DE,47.561,10.2199,62.17,67,100,5.55,overcast clouds
340,Sinnamary,GF,5.3833,-52.95,78.82,86,21,9.78,few clouds
341,Lebork,PL,54.5392,17.7501,63.95,53,100,12.88,light rain
342,Zheleznodorozhnyy,RU,55.7503,38.0042,50.61,57,100,12.37,overcast clouds
343,Brae,GB,60.3964,-1.353,48.07,84,100,19.64,overcast clouds
344,Kolobrzeg,PL,54.1757,15.5834,65.16,75,100,7.74,overcast clouds
345,Axim,GH,4.8699,-2.2405,80.8,83,100,6.69,overcast clouds
346,Laramie,US,41.3114,-105.5911,69.57,26,0,31.07,clear sky
347,Bueno Brandao,BR,-22.4408,-46.3508,59.85,78,41,0.81,scattered clouds
