City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
379,Karaton,ID,76.53,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
381,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
382,Bosaso,SO,82.2,few clouds,11.2842,49.1816,Red Sea Hotel
383,Machiques,VE,85.26,overcast clouds,10.0644,-72.545,hotel el markes
386,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
392,Tuy Hoa,VN,76.48,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
395,Moerai,PF,78.94,light rain,-22.4333,-151.3333,Le Manotel
401,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
404,Sabha,LY,80.55,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
408,Madang,PG,77.47,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
413,Moberly,US,89.92,scattered clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
415,Baiima,SL,78.31,overcast clouds,8.1,-11.85,
416,Cacoal,BR,80.98,broken clouds,-11.4386,-61.4472,Hotel BR 364
417,Pa Sang,TH,80.02,light rain,18.5262,98.9394,โรงแรม จามจุรี 99
422,Biak,ID,76.1,light rain,-0.9131,122.8766,Penginapan Kim
424,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
427,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,hotel la terminal
430,Tabou,CI,80.38,overcast clouds,4.423,-7.3528,hotêl doufoulougou
431,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
434,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
437,Aksu,CN,76.06,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
438,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
449,Casas Grandes,MX,88.45,few clouds,30.3667,-107.95,Pueblo del Soul B&B
453,Pringsewu,ID,75.74,broken clouds,-5.3582,104.9744,Urban Style by Front One
464,Tharad,IN,86.0,few clouds,24.3961,71.6267,Suresh Parmar
466,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
470,Akyab,MM,78.42,overcast clouds,20.15,92.9,Hotel Memory
474,Porangatu,BR,81.21,scattered clouds,-13.4408,-49.1486,Wembley Park Hotel
475,Hobyo,SO,82.53,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
484,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
485,Jorochito,BO,75.52,broken clouds,-18.05,-63.4333,Tom´s Hauss
487,Bonfim,BR,87.71,broken clouds,3.0833,-59.95,
493,Omboue,GA,78.22,light rain,-1.5746,9.2618,Hotel Olako
497,Statesboro,US,82.2,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
498,Honiara,SB,82.45,overcast clouds,-9.4333,159.95,Heritage Park Hotel
506,Capim Grosso,BR,76.23,broken clouds,-11.3811,-40.0128,Hotel Veloso
511,Hamilton,US,86.63,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
521,Bansi,IN,86.11,broken clouds,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
523,San Jose De Guanipa,VE,89.4,few clouds,8.8872,-64.1651,HOTEL 283 SUITES
524,Chaman,PK,75.96,clear sky,30.9236,66.4512,Niamat parda Center chaman
525,Ca Mau,VN,79.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
526,Tabas,IR,77.22,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
527,Serra Talhada,BR,79.86,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
530,San Mateo Del Mar,MX,86.52,scattered clouds,16.2,-95.0,
536,Hambantota,LK,81.28,overcast clouds,6.1241,81.1185,Bungalow 63
540,Puerto Cabello,VE,80.67,overcast clouds,10.4731,-68.0125,Las Palmeras
544,Sattahip,TH,84.97,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
547,Maraa,BR,80.04,light rain,-1.8333,-65.3667,
551,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
552,Merauke,ID,77.74,overcast clouds,-8.4667,140.3333,
564,Santa Isabel Do Rio Negro,BR,83.03,light rain,-0.4139,-65.0192,Hotel GSA
568,Kutum,SD,80.58,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
570,Raghogarh,IN,89.49,clear sky,24.45,77.2,महारानी मंदिर
571,Guijalo,PH,78.42,broken clouds,13.7373,123.868,LBB Ricardo's Inn Unit A
572,Miraflores,MX,86.76,broken clouds,19.2167,-98.8083,Hotel Mansión
574,Pedernales,DO,85.42,scattered clouds,18.0384,-71.744,Hotel Costa Marina
577,Vilhena,BR,84.42,few clouds,-12.7406,-60.1458,Hotel Mirage
579,Manavalakurichi,IN,81.36,overcast clouds,8.1333,77.3,Jebinrio home
580,Carauari,BR,80.4,broken clouds,-4.8828,-66.8958,Hotel Fellip
582,Bocas Del Toro,PA,83.75,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
584,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
585,Porbandar,IN,82.58,few clouds,21.6422,69.6093,Lords Inn Porbandar
589,Saint Pete Beach,US,87.24,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
591,Wagar,SD,87.66,clear sky,16.1525,36.2032,
597,Tulum,MX,86.76,clear sky,20.2167,-87.4667,Kin Ha Tulum
599,Padang,ID,78.78,overcast clouds,-0.9492,100.3543,Mercure Padang
613,Tahta,EG,79.92,clear sky,26.7693,31.5021,فندق الزيات
614,Awbari,LY,80.01,scattered clouds,26.5921,12.7805,فندق أوباري
615,Mayumba,GA,78.28,broken clouds,-3.432,10.6554,LIKWALE LODGE
616,Yenangyaung,MM,81.05,overcast clouds,20.4667,94.8833,Hotel Country
619,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
620,Pauini,BR,83.35,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
624,Calabozo,VE,89.11,overcast clouds,8.9242,-67.4293,Hotel Giardini
628,Bud,US,87.21,broken clouds,39.447,-86.1758,Ted McQuinn Trust
629,Santiago,CL,77.29,haze,-33.4569,-70.6483,Hotel Panamericano
632,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
634,Kankan,GN,88.07,few clouds,10.3854,-9.3057,Hotel Bate
640,Manokwari,ID,79.16,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
641,San Policarpo,PH,80.42,broken clouds,12.1791,125.5072,Agapita M. Nicart
643,Mahbubnagar,IN,85.62,overcast clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
644,Araguaina,BR,80.4,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
648,Agua Verde,MX,86.09,clear sky,22.9,-106.05,
649,Dwarka,IN,82.72,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
