city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Arkhangelsk,RU,2022-05-09 00:39:11,64.5401,40.5433,30.31,92,40,4.47
116,Doha,QA,2022-05-09 00:39:11,25.2867,51.5333,84.18,26,0,21.85
117,Areosa,PT,2022-05-09 00:39:12,41.7178,-8.8571,59.59,72,15,2.64
118,Verkhovazhye,RU,2022-05-09 00:39:12,60.7472,42.0465,37.2,90,100,7.54
119,Upernavik,GL,2022-05-09 00:39:12,72.7868,-56.1549,9.79,84,16,4.99
120,Korampallam,IN,2022-05-09 00:39:13,8.7667,78.1,85.62,67,100,8.9
121,San Policarpo,PH,2022-05-09 00:32:08,12.1791,125.5072,84.04,68,75,10.27
122,Namatanai,PG,2022-05-09 00:33:42,-3.6667,152.4333,84.92,70,100,13.76
123,Guerrero Negro,MX,2022-05-09 00:39:13,27.9769,-114.0611,62.11,70,0,21.88
124,Nhulunbuy,AU,2022-05-09 00:39:14,-12.2333,136.7667,81.21,89,75,17.27
125,Nacala,MZ,2022-05-09 00:39:14,-14.5428,40.6728,68.04,96,53,6.42
126,Luderitz,NA,2022-05-09 00:33:41,-26.6481,15.1594,60.78,41,98,8.59
127,Atuona,PF,2022-05-09 00:39:15,-9.8,-139.0333,78.76,75,0,14.83
128,Tual,ID,2022-05-09 00:34:54,-5.6667,132.75,84.2,77,100,10.47
129,Faanui,PF,2022-05-09 00:29:38,-16.4833,-151.75,81.82,75,12,11.03
130,Saint Anthony,US,2022-05-09 00:33:26,45.0205,-93.218,58.24,76,100,14.97
131,Trinidad,BO,2022-05-09 00:39:16,-14.8333,-64.9,72.91,76,85,3.58
132,Boromo,BF,2022-05-09 00:39:16,11.75,-2.9333,89.24,39,100,11.01
133,Kangaatsiaq,GL,2022-05-09 00:39:17,68.3065,-53.4641,20.03,92,7,2.84
134,Berlevag,NO,2022-05-09 00:40:17,70.8578,29.0864,31.95,74,20,14.97
135,Fairbanks,US,2022-05-09 00:40:18,64.8378,-147.7164,48.09,51,75,9.22
136,Synya,RU,2022-05-09 00:40:18,65.3718,58.0387,43.14,84,86,10.58
137,Lagos,NG,2022-05-09 00:38:37,6.5833,3.75,80.92,94,99,4.29
138,Boguszow-Gorce,PL,2022-05-09 00:40:19,50.7551,16.2049,50.2,99,15,3.44
139,Bethel,US,2022-05-09 00:40:19,41.3712,-73.414,54.45,46,100,5.01
140,Harlingen,US,2022-05-09 00:38:48,26.1906,-97.6961,86.09,82,20,21.85
141,Ponta Do Sol,PT,2022-05-09 00:40:20,32.6667,-17.1,63.23,70,29,5.57
142,Bilma,NE,2022-05-09 00:40:20,18.6853,12.9164,91.15,13,97,5.91
143,Anloga,GH,2022-05-09 00:40:21,5.7947,0.8973,82.54,81,81,12.39
144,Pemangkat,ID,2022-05-09 00:40:21,1.1667,108.9667,80.01,81,100,8.14
145,Macamic,CA,2022-05-09 00:40:22,48.7502,-78.9996,51.39,48,100,3.22
146,Saint Stephen,GB,2022-05-09 00:40:25,50.3333,-4.9,50.27,87,100,10.36
147,Sur,OM,2022-05-09 00:40:26,22.5667,59.5289,87.08,39,0,8.41
148,Abu Samrah,SY,2022-05-09 00:40:26,35.3029,37.1841,58.71,55,70,3.49
149,Hirara,JP,2022-05-09 00:40:27,24.8,125.2833,76.86,94,75,11.5
150,Benjamin Hill,MX,2022-05-09 00:40:27,30.1667,-111.1,83.01,16,0,18.86
151,Brae,GB,2022-05-09 00:37:25,60.3964,-1.353,47.23,90,100,20.65
152,Pevek,RU,2022-05-09 00:31:03,69.7008,170.3133,24.42,78,100,5.75
153,Shivrajpur,IN,2022-05-09 00:40:27,22.4167,73.65,82.36,36,5,2.93
154,Fria,GN,2022-05-09 00:40:28,10.4167,-13.5833,77.22,94,92,2.17
155,Blairmore,CA,2022-05-09 00:40:28,49.6,-114.4353,44.47,45,50,14.97
156,Port Hardy,CA,2022-05-09 00:40:29,50.6996,-127.4199,51.98,58,40,18.41
157,Marang,MY,2022-05-09 00:40:29,5.2056,103.2059,80.51,87,100,5.37
